sep=;
FrameUpdate;FrameFixed;OVRInputLTouchPositionX;OVRInputLTouchPositionY;OVRInputLTouchPositionZ;OVRInputLTouchSpeed;OVRInputLTouchVelocityX;OVRInputLTouchVelocityY;OVRInputLTouchVelocityZ;OVRInputLTouchAccelerationX;OVRInputLTouchAccelerationY;OVRInputLTouchAccelerationZ;OVRInputLTouchAccelerationStrength;OVRInputLTouchOrientationX;OVRInputLTouchOrientationY;OVRInputLTouchOrientationZ;OVRInputLTouchOrientationW;OVRInputLTouchAngSpeed;OVRInputLTouchAngVelocityX;OVRInputLTouchAngVelocityY;OVRInputLTouchAngVelocityZ;OVRInputLTouchAngAccelerationX;OVRInputLTouchAngAccelerationY;OVRInputLTouchAngAccelerationZ;OVRInputLTouchAngAccelerationStrength;OVRInputRTouchPositionX;OVRInputRTouchPositionY;OVRInputRTouchPositionZ;OVRInputRTouchSpeed;OVRInputRTouchVelocityX;OVRInputRTouchVelocityY;OVRInputRTouchVelocityZ;OVRInputRTouchAccelerationX;OVRInputRTouchAccelerationY;OVRInputRTouchAccelerationZ;OVRInputRTouchAccelerationStrength;OVRInputRTouchOrientationX;OVRInputRTouchOrientationY;OVRInputRTouchOrientationZ;OVRInputRTouchOrientationW;OVRInputRTouchAngSpeed;OVRInputRTouchAngVelocityX;OVRInputRTouchAngVelocityY;OVRInputRTouchAngVelocityZ;OVRInputRTouchAngAccelerationX;OVRInputRTouchAngAccelerationY;OVRInputRTouchAngAccelerationZ;OVRInputRTouchAngAccelerationStrength;RawButton.None;RawTouch.None;RawNearTouch.None;RawAxis1D.None;RawAxis2D.None;OVRNodeHeadPositionX;OVRNodeHeadPositionY;OVRNodeHeadPositionZ;OVRNodeHeadSpeed;OVRNodeHeadVelocityX;OVRNodeHeadVelocityY;OVRNodeHeadVelocityZ;OVRNodeHeadAccelerationX;OVRNodeHeadAccelerationY;OVRNodeHeadAccelerationZ;OVRNodeHeadAccelerationStrength;OVRNodeHeadOrientationX;OVRNodeHeadOrientationY;OVRNodeHeadOrientationZ;OVRNodeHeadOrientationW;OVRNodeHeadAngSpeed;OVRNodeHeadAngVelocityX;OVRNodeHeadAngVelocityY;OVRNodeHeadAngVelocityZ;OVRNodeHeadAngAccelerationX;OVRNodeHeadAngAccelerationY;OVRNodeHeadAngAccelerationZ;OVRNodeHeadAngAccelerationStrength;teleportInfo;Command
1550;2581;-0.02153189;0.9646044;0.118303;0.1046853;-0.06730248;0.07920738;-0.01247303;0;0;0;0;0.0118755;-0.0867305;0.2050955;0.9748193;1.334514;0.5672604;0.6049057;1.045578;0;0;0;0;0.01408529;0.9956644;0.06297871;0.2355628;0.2323097;-0.03709134;0.01209493;0;0;0;0;0.1716033;-0.2439029;-0.08034711;-0.9511089;2.28725;-1.077155;-1.620209;1.202569;0;0;0;0;None;None;None;None;None;0.04572814;1.299424;-0.1395485;0.006760842;-0.0005361973;0.001956685;0.006449253;0;0;0;0;-0.03227963;0.1237571;-0.01863868;0.9916123;0.05629137;0.04873375;-0.004180177;-0.02786155;0;0;0;0;0;
1551;2582;-0.02826823;0.967175;0.1162209;0.05088125;-0.02518747;0.04159456;-0.01497949;0;0;0;0;0.002066915;-0.01166328;0.3392276;0.9406298;3.301342;-0.004482224;-1.485972;-2.948004;0;0;0;0;0.02220808;0.9980654;0.05815306;0.2918732;0.2738886;-0.04952464;-0.08787655;0;0;0;0;0.1586656;-0.3000799;-0.0383163;-0.9398453;2.820148;-1.185819;-2.188162;1.32628;0;0;0;0;None;None;None;None;None;0.04548975;1.300025;-0.1395664;0.009114552;-0.00340055;0.007771101;0.003334862;0;0;0;0;-0.03413882;0.1218086;-0.0187284;0.9917895;0.09511814;0.08455893;0.03798341;-0.02131918;0;0;0;0;0;
1552;2583;-0.04126826;0.9725316;0.1077698;0.2195653;-0.1153949;0.1532401;-0.1068196;0;0;0;0;-0.08657972;0.03750485;0.4691895;0.8780425;5.116951;1.403132;-2.207242;-4.398009;0;0;0;0;0.01789015;0.9946883;0.05957442;0.1260248;0.0349926;-0.118784;0.02341222;0;0;0;0;0.1297342;-0.2216318;-0.003637716;-0.9664549;2.180142;-1.352227;0.5139728;1.631053;0;0;0;0;None;None;None;None;None;0.04522298;1.300201;-0.1395226;0.007789262;-0.004705178;0.006064986;0.001322814;0;0;0;0;-0.03412782;0.1197461;-0.01884863;0.9920388;0.08639471;0.04922223;0.06919017;-0.01593544;0;0;0;0;0;
1552;2584;-0.04126826;0.9725316;0.1077698;0.2195653;-0.1153949;0.1532401;-0.1068196;0;0;0;0;-0.08657972;0.03750485;0.4691895;0.8780425;5.116951;1.403132;-2.207242;-4.398009;0;0;0;0;0.01789015;0.9946883;0.05957442;0.1260248;0.0349926;-0.118784;0.02341222;0;0;0;0;0.1297342;-0.2216318;-0.003637716;-0.9664549;2.180142;-1.352227;0.5139728;1.631053;0;0;0;0;None;None;None;None;None;0.04522298;1.300201;-0.1395226;0.007789262;-0.004705178;0.006064986;0.001322814;0;0;0;0;-0.03412782;0.1197461;-0.01884863;0.9920388;0.08639471;0.04922223;0.06919017;-0.01593544;0;0;0;0;0;
1553;2585;-0.03708658;0.966055;0.1143711;0.1040082;-0.07900702;-0.05849065;0.03397716;0;0;0;0;-0.004450807;0.004958089;0.4145015;0.9100242;2.06202;-0.4962626;-0.3080005;-1.977571;0;0;0;0;0.009198252;0.9931709;0.060212;0.1622555;-0.1436779;-0.06593175;0.0365583;0;0;0;0;0.1191691;-0.2134639;-0.08359142;-0.9660457;1.625862;-0.8575931;0.6217095;-1.233465;0;0;0;0;None;None;None;None;None;0.04551575;1.30003;-0.1393592;0.002527636;0.0007550291;0.001979175;-0.001379037;0;0;0;0;-0.03313214;0.1196052;-0.01886982;0.9920891;0.06463479;0.006687696;0.06370541;-0.008634381;0;0;0;0;0;
1553;2586;-0.03708658;0.966055;0.1143711;0.1040082;-0.07900702;-0.05849065;0.03397716;0;0;0;0;-0.004450807;0.004958089;0.4145015;0.9100242;2.06202;-0.4962626;-0.3080005;-1.977571;0;0;0;0;0.009198252;0.9931709;0.060212;0.1622555;-0.1436779;-0.06593175;0.0365583;0;0;0;0;0.1191691;-0.2134639;-0.08359142;-0.9660457;1.625862;-0.8575931;0.6217095;-1.233465;0;0;0;0;None;None;None;None;None;0.04551575;1.30003;-0.1393592;0.002527636;0.0007550291;0.001979175;-0.001379037;0;0;0;0;-0.03313214;0.1196052;-0.01886982;0.9920891;0.06463479;0.006687696;0.06370541;-0.008634381;0;0;0;0;0;
1554;2587;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;None;None;None;None;None;0.04582927;1.299927;-0.1394785;0.004833806;0.004614229;-0.001021279;0.001015654;0;0;0;0;-0.0318862;0.1188526;-0.02063168;0.9921853;0.07812311;-0.03976755;0.04510288;-0.04987476;0;0;0;0;0;
1555;2588;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04619785;1.299821;-0.1396737;0.007703914;0.006925609;-0.001750863;0.002884564;0;0;0;0;-0.03235587;0.1198147;-0.02248076;0.9920142;0.07534879;-0.02021204;0.001874641;-0.07256307;0;0;0;0;0;
1555;2589;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04619785;1.299821;-0.1396737;0.007703914;0.006925609;-0.001750863;0.002884564;0;0;0;0;-0.03235587;0.1198147;-0.02248076;0.9920142;0.07534879;-0.02021204;0.001874641;-0.07256307;0;0;0;0;0;
1556;2590;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.0465511;1.299938;-0.1397246;0.009218837;0.00887639;0.0004250654;0.002452749;0;0;0;0;-0.03390159;0.1212454;-0.02220347;0.9917949;0.06490161;0.02459438;-0.03553723;-0.04841943;0;0;0;0;0;
