sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;EyeHeadSpaceRightRotX;EyeHeadSpaceRightRotY;EyeHeadSpaceRightRotZ;EyeHeadSpaceRightRotW;EyeHeadSpaceLeftRotX;EyeHeadSpaceLeftRotY;EyeHeadSpaceLeftRotZ;EyeHeadSpaceLeftRotW;EyeTrackingSpaceRightPosX;EyeTrackingSpaceRightPosY;EyeTrackingSpaceRightPosZ;EyeTrackingSpaceRightRotX;EyeTrackingSpaceRightRotY;EyeTrackingSpaceRightRotZ;EyeTrackingSpaceRightRotW;EyeTrackingSpaceLeftPosX;EyeTrackingSpaceLeftPosY;EyeTrackingSpaceLeftPosZ;EyeTrackingSpaceLeftRotX;EyeTrackingSpaceLeftRotY;EyeTrackingSpaceLeftRotZ;EyeTrackingSpaceLeftRotW;EyeWorldSpaceRightPosX;EyeWorldSpaceRightPosY;EyeWorldSpaceRightPosZ;EyeWorldSpaceRightRotX;EyeWorldSpaceRightRotY;EyeWorldSpaceRightRotZ;EyeWorldSpaceRightRotW;EyeWorldSpaceLeftPosX;EyeWorldSpaceLeftPosY;EyeWorldSpaceLeftPosZ;EyeWorldSpaceLeftRotX;EyeWorldSpaceLeftRotY;EyeWorldSpaceLeftRotZ;EyeWorldSpaceLeftRotW;EyeClosedL;EyeClosedR;OVRInputLTouchPositionX;OVRInputLTouchPositionY;OVRInputLTouchPositionZ;OVRInputLTouchSpeed;OVRInputLTouchVelocityX;OVRInputLTouchVelocityY;OVRInputLTouchVelocityZ;OVRInputLTouchAccelerationX;OVRInputLTouchAccelerationY;OVRInputLTouchAccelerationZ;OVRInputLTouchAccelerationStrength;OVRInputLTouchOrientationX;OVRInputLTouchOrientationY;OVRInputLTouchOrientationZ;OVRInputLTouchOrientationW;OVRInputLTouchAngSpeed;OVRInputLTouchAngVelocityX;OVRInputLTouchAngVelocityY;OVRInputLTouchAngVelocityZ;OVRInputLTouchAngAccelerationX;OVRInputLTouchAngAccelerationY;OVRInputLTouchAngAccelerationZ;OVRInputLTouchAngAccelerationStrength;OVRInputRTouchPositionX;OVRInputRTouchPositionY;OVRInputRTouchPositionZ;OVRInputRTouchSpeed;OVRInputRTouchVelocityX;OVRInputRTouchVelocityY;OVRInputRTouchVelocityZ;OVRInputRTouchAccelerationX;OVRInputRTouchAccelerationY;OVRInputRTouchAccelerationZ;OVRInputRTouchAccelerationStrength;OVRInputRTouchOrientationX;OVRInputRTouchOrientationY;OVRInputRTouchOrientationZ;OVRInputRTouchOrientationW;OVRInputRTouchAngSpeed;OVRInputRTouchAngVelocityX;OVRInputRTouchAngVelocityY;OVRInputRTouchAngVelocityZ;OVRInputRTouchAngAccelerationX;OVRInputRTouchAngAccelerationY;OVRInputRTouchAngAccelerationZ;OVRInputRTouchAngAccelerationStrength;RawButton.None;RawTouch.None;RawNearTouch.None;RawAxis1D.None;RawAxis2D.None;OVRNodeHeadPositionX;OVRNodeHeadPositionY;OVRNodeHeadPositionZ;OVRNodeHeadSpeed;OVRNodeHeadVelocityX;OVRNodeHeadVelocityY;OVRNodeHeadVelocityZ;OVRNodeHeadAccelerationX;OVRNodeHeadAccelerationY;OVRNodeHeadAccelerationZ;OVRNodeHeadAccelerationStrength;OVRNodeHeadOrientationX;OVRNodeHeadOrientationY;OVRNodeHeadOrientationZ;OVRNodeHeadOrientationW;OVRNodeHeadAngSpeed;OVRNodeHeadAngVelocityX;OVRNodeHeadAngVelocityY;OVRNodeHeadAngVelocityZ;OVRNodeHeadAngAccelerationX;OVRNodeHeadAngAccelerationY;OVRNodeHeadAngAccelerationZ;OVRNodeHeadAngAccelerationStrength;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
1;1;;0;2024-09-23 14:21:17.087;1727101277087;1727101277086;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-23 14:21:17.093;1727101277086;0;
3;2;2024-09-23 14:21:17.093;1727101277093;2024-09-23 14:21:18.362;1727101278362;1276;0.02;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3058691;1.100061;-0.2679029;0.005048686;-0.004018591;0.0004387305;-0.003024512;0;0;0;0;-0.01544288;-0.03545094;0.03489697;0.9986426;0.01955974;-0.01137301;-0.009352887;0.01287485;0;0;0;0;2024-09-23 14:21:18.362;1727101278362;0;
4;3;2024-09-23 14:21:18.362;1727101278362;2024-09-23 14:21:18.438;1727101278438;76;0.04;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3055345;1.099804;-0.2675775;0.0082185;-0.005433339;-0.004287844;-0.004431362;0;0;0;0;-0.01421036;-0.03485535;0.03628816;0.9986323;0.05033221;-0.0350062;-0.006679712;0.03554264;0;0;0;0;2024-09-23 14:21:18.438;1727101278438;0;
4;4;2024-09-23 14:21:18.438;1727101278438;2024-09-23 14:21:18.439;1727101278439;1;0.06;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3055345;1.099804;-0.2675775;0.0082185;-0.005433339;-0.004287844;-0.004431362;0;0;0;0;-0.01421036;-0.03485535;0.03628816;0.9986323;0.05033221;-0.0350062;-0.006679712;0.03554264;0;0;0;0;2024-09-23 14:21:18.439;1727101278439;0;
5;5;2024-09-23 14:21:18.439;1727101278439;2024-09-23 14:21:18.489;1727101278489;50;0.08;0.02;0.06183795;0.00848371;-0.0005256403;0.99805;0.06165318;0.03568255;-0.002205551;0.9974572;0.3378658;1.102183;-0.2653465;0.04813311;-0.02232715;0.001076192;0.9985908;0.2731953;1.097407;-0.2698083;0.0460366;0.004728321;-0.0002179093;0.9989285;27.82178;2.144707;-25.99066;0.04712338;-0.02291572;0.001081352;0.9986256;27.7571;2.140073;-25.99518;0.045089;0.00414065;-0.0001868895;0.9989744;1.164374E-17;2.111029E-16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3048569;1.099243;-0.2672616;0.01113588;-0.008377455;-0.006321653;-0.003723266;0;0;0;0;-0.01243273;-0.03576109;0.03700953;0.9985974;0.05098879;-0.04225638;0.02448765;0.01464955;0;0;0;0;2024-09-23 14:21:18.491;1727101278489;0;
5;6;2024-09-23 14:21:18.491;1727101278491;2024-09-23 14:21:18.492;1727101278492;3;0.09999999;0.02;0.06183795;0.00848371;-0.0005256403;0.99805;0.06165318;0.03568255;-0.002205551;0.9974572;0.3378658;1.102183;-0.2653465;0.04813311;-0.02232715;0.001076192;0.9985908;0.2731953;1.097407;-0.2698083;0.0460366;0.004728321;-0.0002179093;0.9989285;27.82178;2.144707;-25.99066;0.04712338;-0.02291572;0.001081352;0.9986256;27.7571;2.140073;-25.99518;0.045089;0.00414065;-0.0001868895;0.9989744;1.164374E-17;2.111029E-16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3048569;1.099243;-0.2672616;0.01113588;-0.008377455;-0.006321653;-0.003723266;0;0;0;0;-0.01243273;-0.03576109;0.03700953;0.9985974;0.05098879;-0.04225638;0.02448765;0.01464955;0;0;0;0;2024-09-23 14:21:18.492;1727101278492;0;
6;7;2024-09-23 14:21:18.492;1727101278492;2024-09-23 14:21:18.548;1727101278548;56;0.12;0.02;0.04124507;-0.008809947;0.0003636905;0.9991102;0.04121833;0.01833371;-0.0007564553;0.9989817;0.337183;1.101674;-0.2649739;0.03067845;-0.04186936;0.001286222;0.9986512;0.2725258;1.096811;-0.2695529;0.0286589;-0.01484881;0.0004257726;0.9994789;27.82155;1.900628;-25.99041;0.02896153;-0.04112294;0.001192493;0.9987336;27.75688;1.895842;-25.99487;0.0269732;-0.01410314;0.000380583;0.9995366;5.702577E-18;1.039371E-16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3043499;1.098971;-0.2671505;0.01043021;-0.008990127;-0.004676087;-0.00247006;0;0;0;0;-0.01160111;-0.03748218;0.03721853;0.9985366;0.0617211;-0.0311297;0.05299285;0.005673971;0;0;0;0;2024-09-23 14:21:18.548;1727101278548;0;
7;8;2024-09-23 14:21:18.548;1727101278548;2024-09-23 14:21:18.603;1727101278603;55;0.14;0.02;0.0392689;-0.01060814;0.000416915;0.9991723;0.03925315;0.01652997;-0.0006494429;0.9990924;0.336668;1.101415;-0.2647457;0.02974433;-0.04548275;0.001354857;0.9985213;0.2720318;1.096527;-0.2695551;0.02772284;-0.0184671;0.0005122449;0.999445;27.82063;1.53727;-25.99007;0.02878486;-0.04393481;0.001266406;0.9986188;27.75598;1.532405;-25.99467;0.02677117;-0.01691914;0.0004531725;0.9994983;2.805314E-18;5.131619E-17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3039961;1.099168;-0.2670594;0.006995496;-0.006436176;0.002044017;-0.001826087;0;0;0;0;-0.01239866;-0.03787237;0.03690257;0.998524;0.02886619;0.01725251;0.02291388;-0.003249902;0;0;0;0;2024-09-23 14:21:18.604;1727101278603;0;
7;9;2024-09-23 14:21:18.604;1727101278604;2024-09-23 14:21:18.605;1727101278605;2;0.16;0.02;0.0392689;-0.01060814;0.000416915;0.9991723;0.03925315;0.01652997;-0.0006494429;0.9990924;0.336668;1.101415;-0.2647457;0.02974433;-0.04548275;0.001354857;0.9985213;0.2720318;1.096527;-0.2695551;0.02772284;-0.0184671;0.0005122449;0.999445;27.82063;1.53727;-25.99007;0.02878486;-0.04393481;0.001266406;0.9986188;27.75598;1.532405;-25.99467;0.02677117;-0.01691914;0.0004531725;0.9994983;2.805314E-18;5.131619E-17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3039961;1.099168;-0.2670594;0.006995496;-0.006436176;0.002044017;-0.001826087;0;0;0;0;-0.01239866;-0.03787237;0.03690257;0.998524;0.02886619;0.01725251;0.02291388;-0.003249902;0;0;0;0;2024-09-23 14:21:18.605;1727101278605;0;
8;10;2024-09-23 14:21:18.605;1727101278605;2024-09-23 14:21:18.659;1727101278659;54;0.18;0.02;0.03817216;-0.004899298;0.0001871554;0.9992592;0.03812737;0.0222308;-0.0008484291;0.9990252;0.3363152;1.101593;-0.264631;0.02743178;-0.04032492;0.001107503;0.9988094;0.271677;1.096742;-0.2694876;0.02540435;-0.01331351;0.0003383603;0.9995885;27.81971;1.079542;-25.98987;0.02810423;-0.03978173;0.001119364;0.9988125;27.75507;1.074687;-25.99466;0.026075;-0.01276863;0.0003330823;0.9995784;1.969979E-18;3.608478E-17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.3039375;1.099356;-0.2671785;0.003201935;-0.00216507;0.002303764;0.0005074741;0;0;0;0;-0.01302277;-0.03667061;0.03704908;0.9985555;0.02611787;0.01514513;-0.02113556;0.002460976;0;0;0;0;2024-09-23 14:21:18.659;1727101278659;0;
