sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
1;1;;0;2024-07-08 16:49:23.931;1720457363931;1720457363930;0;0;2024-07-08 16:49:23.931;1720457363930;0;
3;2;2024-07-08 16:49:23.931;1720457363931;2024-07-08 16:49:25.353;1720457365353;1423;0.02;0.02;2024-07-08 16:49:25.353;1720457365353;0;
4;3;2024-07-08 16:49:25.353;1720457365353;2024-07-08 16:49:25.409;1720457365409;56;0.04;0.02;2024-07-08 16:49:25.409;1720457365409;0;
4;4;2024-07-08 16:49:25.409;1720457365409;2024-07-08 16:49:25.410;1720457365410;1;0.06;0.02;2024-07-08 16:49:25.410;1720457365410;0;
5;5;2024-07-08 16:49:25.410;1720457365410;2024-07-08 16:49:25.548;1720457365548;138;0.08;0.02;2024-07-08 16:49:25.548;1720457365548;0;
5;6;2024-07-08 16:49:25.548;1720457365548;2024-07-08 16:49:25.549;1720457365549;1;0.09999999;0.02;2024-07-08 16:49:25.549;1720457365549;0;
6;7;2024-07-08 16:49:25.549;1720457365549;2024-07-08 16:49:25.588;1720457365588;39;0.12;0.02;2024-07-08 16:49:25.588;1720457365588;0;
7;8;2024-07-08 16:49:25.589;1720457365589;2024-07-08 16:49:25.631;1720457365631;42;0.14;0.02;2024-07-08 16:49:25.631;1720457365630;0;
7;9;2024-07-08 16:49:25.631;1720457365631;2024-07-08 16:49:25.632;1720457365632;2;0.16;0.02;2024-07-08 16:49:25.632;1720457365632;0;
8;10;2024-07-08 16:49:25.632;1720457365632;2024-07-08 16:49:25.659;1720457365659;27;0.18;0.02;2024-07-08 16:49:25.659;1720457365659;0;
8;11;2024-07-08 16:49:25.659;1720457365659;2024-07-08 16:49:25.660;1720457365660;1;0.2;0.02;2024-07-08 16:49:25.660;1720457365660;0;
9;12;2024-07-08 16:49:25.660;1720457365660;2024-07-08 16:49:25.700;1720457365701;40;0.22;0.02000001;2024-07-08 16:49:25.701;1720457365700;0;
10;13;2024-07-08 16:49:25.701;1720457365701;2024-07-08 16:49:25.728;1720457365728;28;0.24;0.02;2024-07-08 16:49:25.728;1720457365728;0;
10;14;2024-07-08 16:49:25.728;1720457365728;2024-07-08 16:49:25.729;1720457365729;1;0.26;0.02;2024-07-08 16:49:25.729;1720457365729;0;
11;15;2024-07-08 16:49:25.729;1720457365729;2024-07-08 16:49:25.756;1720457365756;27;0.28;0.02000001;2024-07-08 16:49:25.756;1720457365756;0;
11;16;2024-07-08 16:49:25.756;1720457365756;2024-07-08 16:49:25.757;1720457365757;1;0.3;0.01999998;2024-07-08 16:49:25.757;1720457365757;0;
12;17;2024-07-08 16:49:25.757;1720457365757;2024-07-08 16:49:25.784;1720457365784;27;0.32;0.02000001;2024-07-08 16:49:25.784;1720457365784;0;
13;18;2024-07-08 16:49:25.784;1720457365784;2024-07-08 16:49:25.811;1720457365811;27;0.34;0.02000001;2024-07-08 16:49:25.811;1720457365811;0;
13;19;2024-07-08 16:49:25.811;1720457365811;2024-07-08 16:49:25.812;1720457365812;1;0.36;0.01999998;2024-07-08 16:49:25.812;1720457365812;0;
14;20;2024-07-08 16:49:25.812;1720457365812;2024-07-08 16:49:25.839;1720457365839;27;0.38;0.02000001;2024-07-08 16:49:25.839;1720457365839;0;
14;21;2024-07-08 16:49:25.839;1720457365839;2024-07-08 16:49:25.839;1720457365839;0;0.4;0.01999998;2024-07-08 16:49:25.839;1720457365839;0;
15;22;2024-07-08 16:49:25.839;1720457365839;2024-07-08 16:49:25.866;1720457365866;27;0.42;0.02000001;2024-07-08 16:49:25.866;1720457365866;0;
16;23;2024-07-08 16:49:25.866;1720457365866;2024-07-08 16:49:25.894;1720457365894;28;0.44;0.02000001;2024-07-08 16:49:25.894;1720457365894;0;
16;24;2024-07-08 16:49:25.894;1720457365894;2024-07-08 16:49:25.895;1720457365895;1;0.46;0.01999998;2024-07-08 16:49:25.895;1720457365895;0;
17;25;2024-07-08 16:49:25.895;1720457365895;2024-07-08 16:49:25.922;1720457365922;27;0.48;0.02000001;2024-07-08 16:49:25.922;1720457365922;0;
17;26;2024-07-08 16:49:25.922;1720457365922;2024-07-08 16:49:25.922;1720457365922;0;0.5;0.02000001;2024-07-08 16:49:25.922;1720457365922;0;
18;27;2024-07-08 16:49:25.922;1720457365922;2024-07-08 16:49:25.950;1720457365950;28;0.52;0.01999998;2024-07-08 16:49:25.950;1720457365950;0;
19;28;2024-07-08 16:49:25.950;1720457365950;2024-07-08 16:49:25.977;1720457365977;27;0.54;0.01999998;2024-07-08 16:49:25.977;1720457365977;0;
19;29;2024-07-08 16:49:25.977;1720457365977;2024-07-08 16:49:25.978;1720457365978;1;0.56;0.02000004;2024-07-08 16:49:25.978;1720457365978;0;
20;30;2024-07-08 16:49:25.978;1720457365978;2024-07-08 16:49:26.005;1720457366005;27;0.58;0.01999998;2024-07-08 16:49:26.005;1720457366005;0;
20;31;2024-07-08 16:49:26.005;1720457366005;2024-07-08 16:49:26.006;1720457366006;1;0.6;0.01999998;2024-07-08 16:49:26.006;1720457366006;0;
21;32;2024-07-08 16:49:26.006;1720457366006;2024-07-08 16:49:26.034;1720457366034;28;0.62;0.02000004;2024-07-08 16:49:26.034;1720457366034;0;
22;33;2024-07-08 16:49:26.034;1720457366034;2024-07-08 16:49:26.061;1720457366061;27;0.64;0.01999998;2024-07-08 16:49:26.061;1720457366061;0;
22;34;2024-07-08 16:49:26.061;1720457366061;2024-07-08 16:49:26.062;1720457366062;1;0.66;0.01999998;2024-07-08 16:49:26.062;1720457366062;0;
23;35;2024-07-08 16:49:26.062;1720457366062;2024-07-08 16:49:26.089;1720457366089;27;0.68;0.02000004;2024-07-08 16:49:26.089;1720457366089;0;
23;36;2024-07-08 16:49:26.089;1720457366089;2024-07-08 16:49:26.090;1720457366090;1;0.7;0.01999998;2024-07-08 16:49:26.090;1720457366090;0;
24;37;2024-07-08 16:49:26.090;1720457366090;2024-07-08 16:49:26.116;1720457366116;26;0.72;0.01999998;2024-07-08 16:49:26.116;1720457366116;0;
25;38;2024-07-08 16:49:26.116;1720457366116;2024-07-08 16:49:26.144;1720457366144;28;0.74;0.02000004;2024-07-08 16:49:26.144;1720457366144;0;
25;39;2024-07-08 16:49:26.144;1720457366144;2024-07-08 16:49:26.145;1720457366145;1;0.76;0.01999998;2024-07-08 16:49:26.145;1720457366145;0;
26;40;2024-07-08 16:49:26.145;1720457366145;2024-07-08 16:49:26.172;1720457366172;27;0.78;0.01999998;2024-07-08 16:49:26.172;1720457366172;0;
26;41;2024-07-08 16:49:26.172;1720457366172;2024-07-08 16:49:26.172;1720457366172;0;0.8;0.01999998;2024-07-08 16:49:26.172;1720457366172;0;
27;42;2024-07-08 16:49:26.172;1720457366172;2024-07-08 16:49:26.200;1720457366200;28;0.82;0.02000004;2024-07-08 16:49:26.200;1720457366200;0;
28;43;2024-07-08 16:49:26.200;1720457366200;2024-07-08 16:49:26.228;1720457366228;28;0.84;0.01999998;2024-07-08 16:49:26.228;1720457366228;0;
28;44;2024-07-08 16:49:26.228;1720457366228;2024-07-08 16:49:26.228;1720457366228;0;0.86;0.01999998;2024-07-08 16:49:26.228;1720457366228;0;
