sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;OVRInputLTouchPositionX;OVRInputLTouchPositionY;OVRInputLTouchPositionZ;OVRInputLTouchSpeed;OVRInputLTouchVelocityX;OVRInputLTouchVelocityY;OVRInputLTouchVelocityZ;OVRInputLTouchAccelerationX;OVRInputLTouchAccelerationY;OVRInputLTouchAccelerationZ;OVRInputLTouchAccelerationStrength;OVRInputLTouchOrientationX;OVRInputLTouchOrientationY;OVRInputLTouchOrientationZ;OVRInputLTouchOrientationW;OVRInputLTouchAngSpeed;OVRInputLTouchAngVelocityX;OVRInputLTouchAngVelocityY;OVRInputLTouchAngVelocityZ;OVRInputLTouchAngAccelerationX;OVRInputLTouchAngAccelerationY;OVRInputLTouchAngAccelerationZ;OVRInputLTouchAngAccelerationStrength;OVRInputRTouchPositionX;OVRInputRTouchPositionY;OVRInputRTouchPositionZ;OVRInputRTouchSpeed;OVRInputRTouchVelocityX;OVRInputRTouchVelocityY;OVRInputRTouchVelocityZ;OVRInputRTouchAccelerationX;OVRInputRTouchAccelerationY;OVRInputRTouchAccelerationZ;OVRInputRTouchAccelerationStrength;OVRInputRTouchOrientationX;OVRInputRTouchOrientationY;OVRInputRTouchOrientationZ;OVRInputRTouchOrientationW;OVRInputRTouchAngSpeed;OVRInputRTouchAngVelocityX;OVRInputRTouchAngVelocityY;OVRInputRTouchAngVelocityZ;OVRInputRTouchAngAccelerationX;OVRInputRTouchAngAccelerationY;OVRInputRTouchAngAccelerationZ;OVRInputRTouchAngAccelerationStrength;RawButton.None;RawTouch.None;RawNearTouch.None;RawAxis1D.None;RawAxis2D.None;OVRNodeHeadPositionX;OVRNodeHeadPositionY;OVRNodeHeadPositionZ;OVRNodeHeadSpeed;OVRNodeHeadVelocityX;OVRNodeHeadVelocityY;OVRNodeHeadVelocityZ;OVRNodeHeadAccelerationX;OVRNodeHeadAccelerationY;OVRNodeHeadAccelerationZ;OVRNodeHeadAccelerationStrength;OVRNodeHeadOrientationX;OVRNodeHeadOrientationY;OVRNodeHeadOrientationZ;OVRNodeHeadOrientationW;OVRNodeHeadAngSpeed;OVRNodeHeadAngVelocityX;OVRNodeHeadAngVelocityY;OVRNodeHeadAngVelocityZ;OVRNodeHeadAngAccelerationX;OVRNodeHeadAngAccelerationY;OVRNodeHeadAngAccelerationZ;OVRNodeHeadAngAccelerationStrength;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
1;1;;0;2024-09-23 14:16:06.857;1727100966858;1727100966857;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-23 14:16:06.863;1727100966857;0;
3;2;2024-09-23 14:16:06.863;1727100966863;2024-09-23 14:16:07.816;1727100967816;959;0.02;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03208828;1.137452;0.03844738;0.02999486;0.02167268;0.0207135;0.0009681447;0;0;0;0;-0.06941076;-0.0274906;0.01680611;0.9970677;0.3402037;0.249918;-0.2067309;-0.1026735;0;0;0;0;2024-09-23 14:16:07.816;1727100967816;0;
4;3;2024-09-23 14:16:07.816;1727100967816;2024-09-23 14:16:07.899;1727100967899;83;0.04;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03048205;1.13807;0.03940296;0.02987576;0.01298055;-0.008906472;-0.02539176;0;0;0;0;-0.07566982;-0.02059923;0.01277831;0.9968382;0.1510498;0.02039647;-0.1305664;-0.07316035;0;0;0;0;2024-09-23 14:16:07.899;1727100967899;0;
4;4;2024-09-23 14:16:07.899;1727100967899;2024-09-23 14:16:07.900;1727100967900;1;0.06;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03048205;1.13807;0.03940296;0.02987576;0.01298055;-0.008906472;-0.02539176;0;0;0;0;-0.07566982;-0.02059923;0.01277831;0.9968382;0.1510498;0.02039647;-0.1305664;-0.07316035;0;0;0;0;2024-09-23 14:16:07.900;1727100967900;0;
5;5;2024-09-23 14:16:07.900;1727100967900;2024-09-23 14:16:07.955;1727100967955;55;0.08;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03029281;1.135588;0.04264459;0.06701734;-0.002760743;-0.04514794;-0.04945064;0;0;0;0;-0.06983124;-0.01853516;0.008861925;0.9973472;0.273872;-0.2531436;-0.01300141;-0.1037071;0;0;0;0;2024-09-23 14:16:07.955;1727100967955;0;
5;6;2024-09-23 14:16:07.955;1727100967955;2024-09-23 14:16:07.956;1727100967956;1;0.09999999;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03029281;1.135588;0.04264459;0.06701734;-0.002760743;-0.04514794;-0.04945064;0;0;0;0;-0.06983124;-0.01853516;0.008861925;0.9973472;0.273872;-0.2531436;-0.01300141;-0.1037071;0;0;0;0;2024-09-23 14:16:07.956;1727100967956;0;
6;7;2024-09-23 14:16:07.956;1727100967956;2024-09-23 14:16:08.004;1727100968004;48;0.12;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03101688;1.1309;0.04731281;0.09397989;-0.009648554;-0.0667952;-0.0654028;0;0;0;0;-0.05521998;-0.02160895;0.007326279;0.9982135;0.4328438;-0.4198994;0.08665584;-0.05940561;0;0;0;0;2024-09-23 14:16:08.005;1727100968004;0;
7;8;2024-09-23 14:16:08.005;1727100968005;2024-09-23 14:16:08.054;1727100968054;50;0.14;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03182948;1.126847;0.05129255;0.1028749;-0.01381349;-0.07252596;-0.07164093;0;0;0;0;-0.04142925;-0.02513552;0.005669164;0.9988092;0.4981939;-0.4782864;0.1195554;-0.07173465;0;0;0;0;2024-09-23 14:16:08.054;1727100968054;0;
7;9;2024-09-23 14:16:08.054;1727100968054;2024-09-23 14:16:08.054;1727100968054;0;0.16;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03182948;1.126847;0.05129255;0.1028749;-0.01381349;-0.07252596;-0.07164093;0;0;0;0;-0.04142925;-0.02513552;0.005669164;0.9988092;0.4981939;-0.4782864;0.1195554;-0.07173465;0;0;0;0;2024-09-23 14:16:08.054;1727100968054;0;
8;10;2024-09-23 14:16:08.054;1727100968054;2024-09-23 14:16:08.113;1727100968113;59;0.18;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03230783;1.122742;0.05537337;0.1038039;-0.01054789;-0.0723577;-0.07367735;0;0;0;0;-0.02910064;-0.02783902;0.00447704;0.9991787;0.4591053;-0.4436057;0.1017094;-0.06038984;0;0;0;0;2024-09-23 14:16:08.113;1727100968113;0;
