sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
22;34;2024-07-10 13:32:35.083;1720618355083;2024-07-10 13:32:35.084;1720618355084;1;0.66;0.01999998;2024-07-10 13:32:35.084;1720618355084;0;
23;35;2024-07-10 13:32:35.084;1720618355084;2024-07-10 13:32:35.110;1720618355110;26;0.68;0.02000004;2024-07-10 13:32:35.110;1720618355110;0;
23;36;2024-07-10 13:32:35.110;1720618355110;2024-07-10 13:32:35.110;1720618355110;0;0.7;0.01999998;2024-07-10 13:32:35.110;1720618355110;0;
24;37;2024-07-10 13:32:35.110;1720618355110;2024-07-10 13:32:35.151;1720618355151;41;0.72;0.01999998;2024-07-10 13:32:35.151;1720618355151;0;
25;38;2024-07-10 13:32:35.151;1720618355151;2024-07-10 13:32:35.180;1720618355180;29;0.74;0.02000004;2024-07-10 13:32:35.180;1720618355180;0;
25;39;2024-07-10 13:32:35.180;1720618355180;2024-07-10 13:32:35.181;1720618355181;1;0.76;0.01999998;2024-07-10 13:32:35.181;1720618355181;0;
26;40;2024-07-10 13:32:35.181;1720618355181;2024-07-10 13:32:35.207;1720618355207;26;0.78;0.01999998;2024-07-10 13:32:35.207;1720618355207;0;
26;41;2024-07-10 13:32:35.207;1720618355207;2024-07-10 13:32:35.208;1720618355208;1;0.8;0.01999998;2024-07-10 13:32:35.208;1720618355208;0;
27;42;2024-07-10 13:32:35.208;1720618355208;2024-07-10 13:32:35.248;1720618355248;40;0.82;0.02000004;2024-07-10 13:32:35.248;1720618355248;0;
28;43;2024-07-10 13:32:35.248;1720618355248;2024-07-10 13:32:35.277;1720618355277;29;0.84;0.01999998;2024-07-10 13:32:35.277;1720618355277;0;
28;44;2024-07-10 13:32:35.277;1720618355277;2024-07-10 13:32:35.278;1720618355278;1;0.86;0.01999998;2024-07-10 13:32:35.278;1720618355278;0;
29;45;2024-07-10 13:32:35.278;1720618355278;2024-07-10 13:32:35.305;1720618355305;27;0.88;0.02000004;2024-07-10 13:32:35.305;1720618355305;0;
