sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;OVRInputLTouchPositionX;OVRInputLTouchPositionY;OVRInputLTouchPositionZ;OVRInputLTouchSpeed;OVRInputLTouchVelocityX;OVRInputLTouchVelocityY;OVRInputLTouchVelocityZ;OVRInputLTouchAccelerationX;OVRInputLTouchAccelerationY;OVRInputLTouchAccelerationZ;OVRInputLTouchAccelerationStrength;OVRInputLTouchOrientationX;OVRInputLTouchOrientationY;OVRInputLTouchOrientationZ;OVRInputLTouchOrientationW;OVRInputLTouchAngSpeed;OVRInputLTouchAngVelocityX;OVRInputLTouchAngVelocityY;OVRInputLTouchAngVelocityZ;OVRInputLTouchAngAccelerationX;OVRInputLTouchAngAccelerationY;OVRInputLTouchAngAccelerationZ;OVRInputLTouchAngAccelerationStrength;OVRInputRTouchPositionX;OVRInputRTouchPositionY;OVRInputRTouchPositionZ;OVRInputRTouchSpeed;OVRInputRTouchVelocityX;OVRInputRTouchVelocityY;OVRInputRTouchVelocityZ;OVRInputRTouchAccelerationX;OVRInputRTouchAccelerationY;OVRInputRTouchAccelerationZ;OVRInputRTouchAccelerationStrength;OVRInputRTouchOrientationX;OVRInputRTouchOrientationY;OVRInputRTouchOrientationZ;OVRInputRTouchOrientationW;OVRInputRTouchAngSpeed;OVRInputRTouchAngVelocityX;OVRInputRTouchAngVelocityY;OVRInputRTouchAngVelocityZ;OVRInputRTouchAngAccelerationX;OVRInputRTouchAngAccelerationY;OVRInputRTouchAngAccelerationZ;OVRInputRTouchAngAccelerationStrength;RawButton.None;RawTouch.None;RawNearTouch.None;RawAxis1D.None;RawAxis2D.None;OVRNodeHeadPositionX;OVRNodeHeadPositionY;OVRNodeHeadPositionZ;OVRNodeHeadSpeed;OVRNodeHeadVelocityX;OVRNodeHeadVelocityY;OVRNodeHeadVelocityZ;OVRNodeHeadAccelerationX;OVRNodeHeadAccelerationY;OVRNodeHeadAccelerationZ;OVRNodeHeadAccelerationStrength;OVRNodeHeadOrientationX;OVRNodeHeadOrientationY;OVRNodeHeadOrientationZ;OVRNodeHeadOrientationW;OVRNodeHeadAngSpeed;OVRNodeHeadAngVelocityX;OVRNodeHeadAngVelocityY;OVRNodeHeadAngVelocityZ;OVRNodeHeadAngAccelerationX;OVRNodeHeadAngAccelerationY;OVRNodeHeadAngAccelerationZ;OVRNodeHeadAngAccelerationStrength;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
8;11;2024-07-10 16:05:45.134;1720627545134;2024-07-10 16:05:45.135;1720627545135;2;0.2;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.0512162;1.140667;0.03202241;0.06253529;-0.05969658;-0.008227289;-0.01671205;0;0;0;0;0.0815568;-0.06015749;0.04868506;-0.9936596;0.1396369;-0.09338948;-0.007820356;0.1035167;0;0;0;0;2024-07-10 16:05:45.136;1720627545135;0;
9;12;2024-07-10 16:05:45.136;1720627545136;2024-07-10 16:05:45.170;1720627545170;35;0.22;0.02000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04875156;1.14028;0.03224083;0.06116524;-0.0593764;-0.009976618;-0.01077485;0;0;0;0;0.07809503;-0.06045588;0.04744659;-0.9939794;0.1628821;-0.1411019;-0.01552608;0.07987348;0;0;0;0;2024-07-10 16:05:45.170;1720627545170;0;
10;13;2024-07-10 16:05:45.170;1720627545170;2024-07-10 16:05:45.202;1720627545202;32;0.24;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04695638;1.1403;0.03195689;0.0526777;-0.05236186;-0.005506936;-0.001687993;0;0;0;0;0.07637326;-0.06160069;0.04654752;-0.9940854;0.1308229;-0.108961;-0.03495332;0.06340657;0;0;0;0;2024-07-10 16:05:45.203;1720627545202;0;
10;14;2024-07-10 16:05:45.203;1720627545203;2024-07-10 16:05:45.203;1720627545203;1;0.26;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04695638;1.1403;0.03195689;0.0526777;-0.05236186;-0.005506936;-0.001687993;0;0;0;0;0.07637326;-0.06160069;0.04654752;-0.9940854;0.1308229;-0.108961;-0.03495332;0.06340657;0;0;0;0;2024-07-10 16:05:45.204;1720627545203;0;
11;15;2024-07-10 16:05:45.204;1720627545204;2024-07-10 16:05:45.239;1720627545239;36;0.28;0.02000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04640055;1.141023;0.03149613;0.03891429;-0.03749505;0.007711506;0.006998251;0;0;0;0;0.07942607;-0.06525706;0.04603102;-0.9936368;0.1508077;0.04713424;-0.1331902;0.05274175;0;0;0;0;2024-07-10 16:05:45.240;1720627545239;0;
11;16;2024-07-10 16:05:45.240;1720627545240;2024-07-10 16:05:45.240;1720627545240;1;0.3;0.01999998;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04640055;1.141023;0.03149613;0.03891429;-0.03749505;0.007711506;0.006998251;0;0;0;0;0.07942607;-0.06525706;0.04603102;-0.9936368;0.1508077;0.04713424;-0.1331902;0.05274175;0;0;0;0;2024-07-10 16:05:45.241;1720627545240;0;
12;17;2024-07-10 16:05:45.241;1720627545241;2024-07-10 16:05:45.268;1720627545268;28;0.32;0.02000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04643743;1.142527;0.03070529;0.03292247;-0.01892918;0.02342223;0.01330318;0;0;0;0;0.08415439;-0.07394103;0.04566154;-0.9926559;0.3374504;0.1770152;-0.2845552;0.03958222;0;0;0;0;2024-07-10 16:05:45.268;1720627545268;0;
13;18;2024-07-10 16:05:45.268;1720627545268;2024-07-10 16:05:45.294;1720627545295;26;0.34;0.02000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04705717;1.143578;0.03004762;0.03580822;-0.002817513;0.0313264;0.01711569;0;0;0;0;0.08708547;-0.08244476;0.04380332;-0.9918166;0.4624949;0.20642;-0.4066076;0.07721811;0;0;0;0;2024-07-10 16:05:45.295;1720627545294;0;
13;19;2024-07-10 16:05:45.295;1720627545295;2024-07-10 16:05:45.296;1720627545296;2;0.36;0.01999998;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04705717;1.143578;0.03004762;0.03580822;-0.002817513;0.0313264;0.01711569;0;0;0;0;0.08708547;-0.08244476;0.04380332;-0.9918166;0.4624949;0.20642;-0.4066076;0.07721811;0;0;0;0;2024-07-10 16:05:45.296;1720627545296;0;
14;20;2024-07-10 16:05:45.296;1720627545296;2024-07-10 16:05:45.323;1720627545323;27;0.38;0.02000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;0.04842136;1.145051;0.02933601;0.04901635;0.01864589;0.04037018;0.02061994;0;0;0;0;0.09140591;-0.09264776;0.04003893;-0.9906858;0.6147061;0.2653552;-0.5283588;0.1681879;0;0;0;0;2024-07-10 16:05:45.324;1720627545323;0;
