sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
1;1;;0;2024-07-08 16:48:27.304;1720457307304;1720457307303;0;0;2024-07-08 16:48:27.304;1720457307303;0;
3;2;2024-07-08 16:48:27.304;1720457307304;2024-07-08 16:48:28.814;1720457308814;1511;0.02;0.02;2024-07-08 16:48:28.814;1720457308814;0;
4;3;2024-07-08 16:48:28.814;1720457308814;2024-07-08 16:48:28.869;1720457308869;55;0.04;0.02;2024-07-08 16:48:28.869;1720457308869;0;
4;4;2024-07-08 16:48:28.869;1720457308869;2024-07-08 16:48:28.870;1720457308870;1;0.06;0.02;2024-07-08 16:48:28.870;1720457308870;0;
5;5;2024-07-08 16:48:28.870;1720457308870;2024-07-08 16:48:29.079;1720457309079;209;0.08;0.02;2024-07-08 16:48:29.079;1720457309079;0;
5;6;2024-07-08 16:48:29.079;1720457309079;2024-07-08 16:48:29.080;1720457309080;1;0.09999999;0.02;2024-07-08 16:48:29.080;1720457309080;0;
6;7;2024-07-08 16:48:29.080;1720457309080;2024-07-08 16:48:29.121;1720457309121;41;0.12;0.02;2024-07-08 16:48:29.121;1720457309121;0;
7;8;2024-07-08 16:48:29.121;1720457309121;2024-07-08 16:48:29.147;1720457309147;26;0.14;0.02;2024-07-08 16:48:29.147;1720457309147;0;
7;9;2024-07-08 16:48:29.147;1720457309147;2024-07-08 16:48:29.148;1720457309148;1;0.16;0.02;2024-07-08 16:48:29.148;1720457309148;0;
8;10;2024-07-08 16:48:29.148;1720457309148;2024-07-08 16:48:29.177;1720457309177;29;0.18;0.02;2024-07-08 16:48:29.177;1720457309177;0;
8;11;2024-07-08 16:48:29.177;1720457309177;2024-07-08 16:48:29.178;1720457309178;1;0.2;0.02;2024-07-08 16:48:29.178;1720457309178;0;
9;12;2024-07-08 16:48:29.178;1720457309178;2024-07-08 16:48:29.217;1720457309217;39;0.22;0.02000001;2024-07-08 16:48:29.217;1720457309217;0;
10;13;2024-07-08 16:48:29.217;1720457309217;2024-07-08 16:48:29.245;1720457309245;28;0.24;0.02;2024-07-08 16:48:29.245;1720457309245;0;
10;14;2024-07-08 16:48:29.245;1720457309245;2024-07-08 16:48:29.245;1720457309245;0;0.26;0.02;2024-07-08 16:48:29.245;1720457309245;0;
11;15;2024-07-08 16:48:29.245;1720457309245;2024-07-08 16:48:29.274;1720457309274;29;0.28;0.02000001;2024-07-08 16:48:29.274;1720457309274;0;
11;16;2024-07-08 16:48:29.274;1720457309274;2024-07-08 16:48:29.275;1720457309275;1;0.3;0.01999998;2024-07-08 16:48:29.275;1720457309275;0;
12;17;2024-07-08 16:48:29.275;1720457309275;2024-07-08 16:48:29.302;1720457309302;27;0.32;0.02000001;2024-07-08 16:48:29.302;1720457309302;0;
13;18;2024-07-08 16:48:29.302;1720457309302;2024-07-08 16:48:29.342;1720457309342;40;0.34;0.02000001;2024-07-08 16:48:29.342;1720457309342;0;
13;19;2024-07-08 16:48:29.342;1720457309342;2024-07-08 16:48:29.342;1720457309342;0;0.36;0.01999998;2024-07-08 16:48:29.342;1720457309342;0;
14;20;2024-07-08 16:48:29.342;1720457309342;2024-07-08 16:48:29.370;1720457309370;28;0.38;0.02000001;2024-07-08 16:48:29.370;1720457309370;0;
14;21;2024-07-08 16:48:29.370;1720457309370;2024-07-08 16:48:29.370;1720457309370;0;0.4;0.01999998;2024-07-08 16:48:29.370;1720457309370;0;
15;22;2024-07-08 16:48:29.370;1720457309370;2024-07-08 16:48:29.399;1720457309399;29;0.42;0.02000001;2024-07-08 16:48:29.399;1720457309399;0;
16;23;2024-07-08 16:48:29.399;1720457309399;2024-07-08 16:48:29.426;1720457309426;27;0.44;0.02000001;2024-07-08 16:48:29.426;1720457309426;0;
16;24;2024-07-08 16:48:29.426;1720457309426;2024-07-08 16:48:29.427;1720457309427;1;0.46;0.01999998;2024-07-08 16:48:29.427;1720457309427;0;
17;25;2024-07-08 16:48:29.427;1720457309427;2024-07-08 16:48:29.456;1720457309456;29;0.48;0.02000001;2024-07-08 16:48:29.456;1720457309456;0;
17;26;2024-07-08 16:48:29.456;1720457309456;2024-07-08 16:48:29.456;1720457309456;0;0.5;0.02000001;2024-07-08 16:48:29.456;1720457309456;0;
18;27;2024-07-08 16:48:29.456;1720457309456;2024-07-08 16:48:29.484;1720457309484;28;0.52;0.01999998;2024-07-08 16:48:29.485;1720457309484;0;
19;28;2024-07-08 16:48:29.485;1720457309485;2024-07-08 16:48:29.512;1720457309512;28;0.54;0.01999998;2024-07-08 16:48:29.512;1720457309512;0;
19;29;2024-07-08 16:48:29.512;1720457309512;2024-07-08 16:48:29.513;1720457309513;1;0.56;0.02000004;2024-07-08 16:48:29.513;1720457309513;0;
20;30;2024-07-08 16:48:29.513;1720457309513;2024-07-08 16:48:29.539;1720457309539;26;0.58;0.01999998;2024-07-08 16:48:29.539;1720457309539;0;
20;31;2024-07-08 16:48:29.539;1720457309539;2024-07-08 16:48:29.541;1720457309541;2;0.6;0.01999998;2024-07-08 16:48:29.541;1720457309541;0;
21;32;2024-07-08 16:48:29.541;1720457309541;2024-07-08 16:48:29.567;1720457309567;26;0.62;0.02000004;2024-07-08 16:48:29.567;1720457309567;0;
22;33;2024-07-08 16:48:29.567;1720457309567;2024-07-08 16:48:29.596;1720457309596;29;0.64;0.01999998;2024-07-08 16:48:29.596;1720457309596;0;
22;34;2024-07-08 16:48:29.596;1720457309596;2024-07-08 16:48:29.597;1720457309597;1;0.66;0.01999998;2024-07-08 16:48:29.597;1720457309597;0;
23;35;2024-07-08 16:48:29.597;1720457309597;2024-07-08 16:48:29.622;1720457309622;25;0.68;0.02000004;2024-07-08 16:48:29.622;1720457309622;0;
23;36;2024-07-08 16:48:29.622;1720457309622;2024-07-08 16:48:29.624;1720457309624;2;0.7;0.01999998;2024-07-08 16:48:29.624;1720457309624;0;
24;37;2024-07-08 16:48:29.624;1720457309624;2024-07-08 16:48:29.651;1720457309651;27;0.72;0.01999998;2024-07-08 16:48:29.651;1720457309651;0;
25;38;2024-07-08 16:48:29.651;1720457309651;2024-07-08 16:48:29.689;1720457309690;38;0.74;0.02000004;2024-07-08 16:48:29.690;1720457309689;0;
