sep=;
FrameUpdate;FrameFixed;timestampStartCycle;timestampStartCycleMillisecond;timestampStartFixed;timestampStartFixedMillisecond;timestampDifference;timestampUnityTime;timestampUnityTimeDifference;OVRInputLTouchPositionX;OVRInputLTouchPositionY;OVRInputLTouchPositionZ;OVRInputLTouchSpeed;OVRInputLTouchVelocityX;OVRInputLTouchVelocityY;OVRInputLTouchVelocityZ;OVRInputLTouchAccelerationX;OVRInputLTouchAccelerationY;OVRInputLTouchAccelerationZ;OVRInputLTouchAccelerationStrength;OVRInputLTouchOrientationX;OVRInputLTouchOrientationY;OVRInputLTouchOrientationZ;OVRInputLTouchOrientationW;OVRInputLTouchAngSpeed;OVRInputLTouchAngVelocityX;OVRInputLTouchAngVelocityY;OVRInputLTouchAngVelocityZ;OVRInputLTouchAngAccelerationX;OVRInputLTouchAngAccelerationY;OVRInputLTouchAngAccelerationZ;OVRInputLTouchAngAccelerationStrength;OVRInputRTouchPositionX;OVRInputRTouchPositionY;OVRInputRTouchPositionZ;OVRInputRTouchSpeed;OVRInputRTouchVelocityX;OVRInputRTouchVelocityY;OVRInputRTouchVelocityZ;OVRInputRTouchAccelerationX;OVRInputRTouchAccelerationY;OVRInputRTouchAccelerationZ;OVRInputRTouchAccelerationStrength;OVRInputRTouchOrientationX;OVRInputRTouchOrientationY;OVRInputRTouchOrientationZ;OVRInputRTouchOrientationW;OVRInputRTouchAngSpeed;OVRInputRTouchAngVelocityX;OVRInputRTouchAngVelocityY;OVRInputRTouchAngVelocityZ;OVRInputRTouchAngAccelerationX;OVRInputRTouchAngAccelerationY;OVRInputRTouchAngAccelerationZ;OVRInputRTouchAngAccelerationStrength;RawButton.None;RawTouch.None;RawNearTouch.None;RawAxis1D.None;RawAxis2D.None;OVRNodeHeadPositionX;OVRNodeHeadPositionY;OVRNodeHeadPositionZ;OVRNodeHeadSpeed;OVRNodeHeadVelocityX;OVRNodeHeadVelocityY;OVRNodeHeadVelocityZ;OVRNodeHeadAccelerationX;OVRNodeHeadAccelerationY;OVRNodeHeadAccelerationZ;OVRNodeHeadAccelerationStrength;OVRNodeHeadOrientationX;OVRNodeHeadOrientationY;OVRNodeHeadOrientationZ;OVRNodeHeadOrientationW;OVRNodeHeadAngSpeed;OVRNodeHeadAngVelocityX;OVRNodeHeadAngVelocityY;OVRNodeHeadAngVelocityZ;OVRNodeHeadAngAccelerationX;OVRNodeHeadAngAccelerationY;OVRNodeHeadAngAccelerationZ;OVRNodeHeadAngAccelerationStrength;timestampEndFixed;timestampEndFixedMillisecond;teleportInfo;Command
1;1;;0;2024-09-23 14:12:28.634;1727100748634;1727100748634;0;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-23 14:12:28.640;1727100748634;0;
3;2;2024-09-23 14:12:28.640;1727100748640;2024-09-23 14:12:30.376;1727100750376;1742;0.02;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-09-23 14:12:30.376;1727100750376;0;
4;3;2024-09-23 14:12:30.376;1727100750376;2024-09-23 14:12:30.515;1727100750515;139;0.04;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.02944422;1.132566;-0.02588785;0.02319819;-0.02133188;-0.005777515;-0.007051728;0;0;0;0;-0.1099226;-0.001726314;0.05446166;0.9924455;0.1967029;-0.108655;-0.02994807;0.1612117;0;0;0;0;2024-09-23 14:12:30.515;1727100750515;0;
4;4;2024-09-23 14:12:30.515;1727100750515;2024-09-23 14:12:30.516;1727100750516;1;0.06;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.02944422;1.132566;-0.02588785;0.02319819;-0.02133188;-0.005777515;-0.007051728;0;0;0;0;-0.1099226;-0.001726314;0.05446166;0.9924455;0.1967029;-0.108655;-0.02994807;0.1612117;0;0;0;0;2024-09-23 14:12:30.516;1727100750516;0;
5;5;2024-09-23 14:12:30.516;1727100750516;2024-09-23 14:12:30.569;1727100750569;53;0.08;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.0303799;1.132114;-0.02537625;0.01256526;-0.008442554;-0.005893253;-0.007202679;0;0;0;0;-0.1059081;0.001953802;0.05851906;0.9926506;0.1796569;-0.1146572;-0.09515601;0.1003776;0;0;0;0;2024-09-23 14:12:30.571;1727100750569;0;
5;6;2024-09-23 14:12:30.571;1727100750571;2024-09-23 14:12:30.572;1727100750572;3;0.09999999;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.0303799;1.132114;-0.02537625;0.01256526;-0.008442554;-0.005893253;-0.007202679;0;0;0;0;-0.1059081;0.001953802;0.05851906;0.9926506;0.1796569;-0.1146572;-0.09515601;0.1003776;0;0;0;0;2024-09-23 14:12:30.572;1727100750572;0;
6;7;2024-09-23 14:12:30.572;1727100750572;2024-09-23 14:12:30.625;1727100750625;53;0.12;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.030354;1.131798;-0.02510781;0.01006989;-0.0003476712;-0.006568645;-0.007624615;0;0;0;0;-0.1039775;0.004469211;0.05951164;0.9927875;0.1525134;-0.0964859;-0.1099353;0.04318601;0;0;0;0;2024-09-23 14:12:30.626;1727100750625;0;
7;8;2024-09-23 14:12:30.626;1727100750626;2024-09-23 14:12:30.682;1727100750682;57;0.14;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03025811;1.131451;-0.02466293;0.01039689;0.002863457;-0.005977336;-0.008010454;0;0;0;0;-0.1019576;0.007298424;0.06004751;0.992948;0.1139607;-0.07013466;-0.08584937;0.02642064;0;0;0;0;2024-09-23 14:12:30.683;1727100750682;0;
7;9;2024-09-23 14:12:30.683;1727100750683;2024-09-23 14:12:30.683;1727100750683;1;0.16;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.03025811;1.131451;-0.02466293;0.01039689;0.002863457;-0.005977336;-0.008010454;0;0;0;0;-0.1019576;0.007298424;0.06004751;0.992948;0.1139607;-0.07013466;-0.08584937;0.02642064;0;0;0;0;2024-09-23 14:12:30.683;1727100750683;0;
8;10;2024-09-23 14:12:30.683;1727100750683;2024-09-23 14:12:30.765;1727100750765;82;0.18;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.02992177;1.130977;-0.02409601;0.01095895;0.005704348;-0.005230143;-0.007759164;0;0;0;0;-0.09964272;0.01003396;0.06055316;0.9931284;0.08250747;-0.06218866;-0.04920972;0.02276962;0;0;0;0;2024-09-23 14:12:30.766;1727100750765;0;
8;11;2024-09-23 14:12:30.766;1727100750766;2024-09-23 14:12:30.766;1727100750766;1;0.2;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.02992177;1.130977;-0.02409601;0.01095895;0.005704348;-0.005230143;-0.007759164;0;0;0;0;-0.09964272;0.01003396;0.06055316;0.9931284;0.08250747;-0.06218866;-0.04920972;0.02276962;0;0;0;0;2024-09-23 14:12:30.768;1727100750766;0;
9;12;2024-09-23 14:12:30.768;1727100750768;2024-09-23 14:12:30.821;1727100750821;55;0.22;0.02000001;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.02956001;1.130629;-0.02351365;0.01241861;0.00744737;-0.006118339;-0.007830997;0;0;0;0;-0.09765016;0.01156313;0.06104411;0.9932796;0.08129337;-0.06953279;-0.03754848;0.01907654;0;0;0;0;2024-09-23 14:12:30.821;1727100750821;0;
10;13;2024-09-23 14:12:30.821;1727100750821;2024-09-23 14:12:30.861;1727100750861;40;0.24;0.02;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;-0.02914388;1.130253;-0.02305036;0.01321111;0.008218683;-0.007141844;-0.007482035;0;0;0;0;-0.09560532;0.01254709;0.06151249;0.9934376;0.08277453;-0.07576862;-0.02659215;0.02008975;0;0;0;0;2024-09-23 14:12:30.861;1727100750861;0;
